Species;SampleID;Ind;Rep;conidL;conidW;conidiophL;conidiophW;conidA;PictureID
Flamb;UZ_13.22(5)_R103;135;R1;4,713;1,973;12,206;1,681;6,469;UZ_13.22(5)_R1_100x_003
Flamb;UZ_13.22(5)_R104;135;R1;5,056;2,103;16,131;2,04;8,194;UZ_13.22(5)_R1_100x_004_ED
Flamb;UZ_13.22(5)_R105;135;R1;5,742;2,007;22,878;1,816;8,738;UZ_13.22(5)_R1_100x_005_ED
Flamb;UZ_13.22(5)_R106;135;R1;4,521;2,225;10,658;1,728;6,882;UZ_13.22(5)_R1_100x_006
Flamb;UZ_13.22(5)_R107;135;R1;4,624;2,001;10,387;1,739;7,038;UZ_13.22(5)_R1_100x_007_ED
Flamb;UZ_13.22(5)_R108;135;R1;4,91;2,309;16,995;1,933;8,082;UZ_13.22(5)_R1_100x_008_ED
Flamb;UZ_13.22(5)_R109;135;R1;5,292;2,062;11,885;1,772;7,71;UZ_13.22(5)_R1_100x_009_ED
Flamb;UZ_13.22(5)_R110;135;R1;4,581;2,361;11,103;1,615;8,822;UZ_13.22(5)_R1_100x_010_ED
Flamb;UZ_13.22(5)_R201;135;R2;4,524;2,286;14,328;1,98;7,62;UZ_13.22(5)_R2_100x_001
Flamb;UZ_13.22(5)_R202;135;R2;4,17;2,213;14,272;1,772;7;UZ_13.22(5)_R2_100x_002
Flamb;UZ_13.22(5)_R203;135;R2;4,591;2,333;13,514;1,521;7,64;UZ_13.22(5)_R2_100x_003
Flamb;UZ_13.22(5)_R204;135;R2;3,985;2,169;20,214;1,815;7,642;UZ_13.22(5)_R2_100x_004
Flamb;UZ_13.22(5)_R205;135;R2;4,089;2,474;14,943;1,518;8,15;UZ_13.22(5)_R2_100x_005_ED
Flamb;UZ_13.22(5)_R206;135;R2;4,017;1,868;15,359;1,401;6,049;UZ_13.22(5)_R2_100x_006_ED
Flamb;UZ_13.22(5)_R207;135;R2;4,786;2,174;11,485;1,509;7,75;UZ_13.22(5)_R2_100x_006_ED
Flamb;UZ_13.22(5)_R208;135;R2;4,435;1,986;11,874;1,487;7,37;UZ_13.22(5)_R2_100x_007
Flamb;UZ_13.22(5)_R209;135;R2;4,069;2,217;15,274;1,658;6,906;UZ_13.22(5)_R2_100x_007
Flamb;UZ_13.22(5)_R210;135;R2;3,753;2,065;14,227;1,54;6,309;UZ_13.22(5)_R2_100x_008
Flamb;UZ_13.22(5)_R301;135;R3;4,71;2,288;15,504;1,567;8,214;UZ_13.22(5)_R3_100x_001_ED
Flamb;UZ_13.22(5)_R302;135;R3;4,851;2,01;12,559;2,223;7,546;UZ_13.22(5)_R3_100x_002_ED
Flamb;UZ_13.22(5)_R303;135;R3;4,843;1,92;15,078;2,109;7,278;UZ_13.22(5)_R3_100x_003
Flamb;UZ_13.22(5)_R304;135;R3;3,916;1,839;11,508;1,269;5,537;UZ_13.22(5)_R3_100x_004
Flamb;UZ_13.22(5)_R305;135;R3;3,59;1,875;12,788;1,606;5,433;UZ_13.22(5)_R3_100x_005
Flamb;UZ_13.22(5)_R306;135;R3;5,381;2,544;12,329;1,586;9,65;UZ_13.22(5)_R3_100x_006
Flamb;UZ_13.22(5)_R307;135;R3;3,79;1,698;14,125;2,079;5,513;UZ_13.22(5)_R3_100x_007
Flamb;UZ_13.22(5)_R308;135;R3;4,429;2,192;13,208;1,828;6,49;UZ_13.22(5)_R3_100x_008
Flamb;UZ_13.22(5)_R309;135;R3;4,645;2,265;12,702;1,744;6,269;UZ_13.22(5)_R3_100x_009
Flamb;UZ_13.22(5)_R310;135;R3;3,849;1,813;17,374;1,982;6,217;UZ_13.22(5)_R3_100x_010
Fyves;UZ_7.23(4)_R101;74;R1;4,119;1,867;17,008;1,795;5,845;UZ_7.23(4)_R1_100x_001_ED
Fyves;UZ_7.23(4)_R102;74;R1;4,668;2,093;13,419;1,206;7,194;UZ_7.23(4)_R1_100x_002_ED
Fyves;UZ_7.23(4)_R103;74;R1;4,453;2,175;13,096;1,519;7,178;UZ_7.23(4)_R1_100x_002_ED
Fyves;UZ_7.23(4)_R104;74;R1;4,377;1,84;13,069;1,626;7,32;UZ_7.23(4)_R1_100x_002
Fyves;UZ_7.23(4)_R105;74;R1;4,566;1,9;12,637;1,624;7,414;UZ_7.23(4)_R1_100x_003_ED
Fyves;UZ_7.23(4)_R106;74;R1;4,79;2,15;13,592;1,628;7,718;UZ_7.23(4)_R1_100x_003_ED
Fyves;UZ_7.23(4)_R107;74;R1;4,702;2,028;9,704;1,281;7,914;UZ_7.23(4)_R1_100x_003_ED
Fyves;UZ_7.23(4)_R108;74;R1;4,219;1,733;13,466;2,112;6,389;UZ_7.23(4)_R1_100x_004_ED
Fyves;UZ_7.23(4)_R109;74;R1;4,911;1,974;16,889;2,395;7,402;UZ_7.23(4)_R1_100x_004_ED
Fyves;UZ_7.23(4)_R110;74;R1;4,416;1,899;14,443;1,794;6,81;UZ_7.23(4)_R1_100x_005
Fyves;UZ_7.23(4)_R201;74;R2;4,164;2,263;16,075;1,51;7,63;UZ_7.23(4)_R2_100x_001_ED
Fyves;UZ_7.23(4)_R202;74;R2;4,397;2,154;17,132;1,607;7,07;UZ_7.23(4)_R2_100x_002
Fyves;UZ_7.23(4)_R203;74;R2;4,036;1,737;19,786;1,74;5,9;UZ_7.23(4)_R2_100x_003
Fyves;UZ_7.23(4)_R204;74;R2;4,988;2,299;16,345;1,728;8,47;UZ_7.23(4)_R2_100x_004
Fyves;UZ_7.23(4)_R205;74;R2;4,419;1,924;24,234;1,852;7,358;UZ_7.23(4)_R2_100x_005
Fyves;UZ_7.23(4)_R206;74;R2;4,1;2,059;19,869;1,641;5,445;UZ_7.23(4)_R2_100x_006_ED
Fyves;UZ_7.23(4)_R207;74;R2;4,394;2,214;15,084;1,455;7,55;UZ_7.23(4)_R2_100x_007_ED
Fyves;UZ_7.23(4)_R208;74;R2;4,872;2,246;9,667;1,864;8,274;UZ_7.23(4)_R2_100x_008_ED
Fyves;UZ_7.23(4)_R209;74;R2;4,297;2,115;19,439;1,909;9,078;UZ_7.23(4)_R2_100x_009
Fyves;UZ_7.23(4)_R210;74;R2;5,296;2,173;15,115;1,522;8,73;UZ_7.23(4)_R2_100x_010
Fyves;UZ_7.23(4)_R301;74;R3;4,783;2,264;13,781;1,534;9,198;UZ_7.23(4)_R3_100x_001
Fyves;UZ_7.23(4)_R302;74;R3;4,773;2,147;13,397;1,801;7,55;UZ_7.23(4)_R3_100x_002
Fyves;UZ_7.23(4)_R303;74;R3;4,523;2,036;11,554;1,818;7,402;UZ_7.23(4)_R3_100x_003_ED
Fyves;UZ_7.23(4)_R304;74;R3;5,061;1,993;14,993;1,43;7,618;UZ_7.23(4)_R3_100x_004_ED
Fyves;UZ_7.23(4)_R305;74;R3;4,634;2,175;11,923;1,521;6,74;UZ_7.23(4)_R3_100x_005
Fyves;UZ_7.23(4)_R306;74;R3;3,715;2,099;12,935;1,284;6,34;UZ_7.23(4)_R3_100x_006
Fyves;UZ_7.23(4)_R307;74;R3;4,076;2,056;11,859;1,172;7,194;UZ_7.23(4)_R3_100x_007_ED
